iter	MultiClass
0	1.588681777
1	1.365056027
2	1.211566084
3	1.094424057
4	1.002985967
5	0.9276582445
6	0.8632961717
7	0.8069550302
8	0.7591590065
9	0.7180103751
10	0.6829608475
11	0.650581097
12	0.6224630017
13	0.5956526113
14	0.5719308783
15	0.5509602521
16	0.5320822952
17	0.5147742602
18	0.4995753972
19	0.4868390487
20	0.4729687159
21	0.4615069403
22	0.450642751
23	0.4407760295
24	0.4309405749
25	0.4226800902
26	0.414445593
27	0.407560204
28	0.4002405181
29	0.3936444043
30	0.3874145116
31	0.3820846558
32	0.3765982633
33	0.3722074416
34	0.3679074205
35	0.3637557131
36	0.3596057054
37	0.3552292712
38	0.3514602055
39	0.3481924209
40	0.3454539544
41	0.3419034707
42	0.339327901
43	0.3363790755
44	0.3343032987
45	0.3311401849
46	0.3285468239
47	0.3257259098
48	0.32352024
49	0.3216356765
50	0.3194123365
51	0.31788476
52	0.3155994342
53	0.3137838021
54	0.3124493241
55	0.3103823592
56	0.3087281772
57	0.3071328462
58	0.3053462512
59	0.3039461957
60	0.3021905478
61	0.3008059168
62	0.2995980345
63	0.2985257347
64	0.2972746481
65	0.2956658515
66	0.2936615683
67	0.2921262765
68	0.2910657052
69	0.2897561741
70	0.2885502033
71	0.287456578
72	0.2860927679
73	0.2851759075
74	0.2839113559
75	0.2821138099
76	0.2808059394
77	0.2797373439
78	0.2784537285
79	0.2773065631
80	0.2764928694
81	0.2756105294
82	0.2747299138
83	0.2736389773
84	0.2727846913
85	0.2716976389
86	0.2711052059
87	0.2704734422
88	0.2698615996
89	0.2689411307
90	0.2680388257
91	0.2675711603
92	0.2668800705
93	0.2662276782
94	0.2655355193
95	0.2646527579
96	0.2638246508
97	0.263268808
98	0.2625572121
99	0.2619493781
100	0.261354081
101	0.2608949357
102	0.2602154897
103	0.2596468248
104	0.2590551076
105	0.2584265239
106	0.2576140463
107	0.2572259986
108	0.2568499044
109	0.2562603671
110	0.2557114399
111	0.2551680178
112	0.2547482811
113	0.2542576848
114	0.2538040475
115	0.2532889966
116	0.2527462054
117	0.252008694
118	0.2511364214
119	0.2507574115
120	0.2501341646
121	0.2495473102
122	0.2490875598
123	0.2485745326
124	0.2480938325
125	0.2476814523
126	0.2471908507
127	0.2467468074
128	0.2460298176
129	0.2455840002
130	0.2449249222
131	0.2444560382
132	0.2439757127
133	0.2433492282
134	0.2429250611
135	0.242316325
136	0.2419052876
137	0.2413608375
138	0.2410231538
139	0.240221931
140	0.2395544323
141	0.2390812158
142	0.2384050122
143	0.237889687
144	0.2376038356
145	0.2368999791
146	0.2365111349
147	0.236153895
148	0.235770777
149	0.2353705069
150	0.235035658
151	0.2343816227
152	0.2339678484
153	0.2337759562
154	0.2334557678
155	0.2330945251
156	0.2329110716
157	0.2325570307
158	0.2322974429
159	0.231979991
160	0.2315163978
161	0.2311469574
162	0.230637532
163	0.2301810162
164	0.2297068665
165	0.2292297073
166	0.229027467
167	0.2286825287
168	0.2278134749
169	0.2275714161
170	0.2272883138
171	0.2268977961
172	0.2265219289
173	0.226148586
174	0.2259313825
175	0.2255523538
176	0.2252690539
177	0.2250496307
178	0.2247963735
179	0.2245000329
180	0.2242890222
181	0.2241114806
182	0.2234408319
183	0.2231302045
184	0.2227324638
185	0.2224712486
186	0.2222316391
187	0.2219302804
188	0.2216266485
189	0.22138973
190	0.2209846595
191	0.2207743095
192	0.2202828745
193	0.2201544367
194	0.2198607678
195	0.2195007342
196	0.2192960677
197	0.2188370162
198	0.2185889363
199	0.2184813903
200	0.2182209428
201	0.2180600913
202	0.2177394057
203	0.2174140011
204	0.2171297268
205	0.2168788842
206	0.2166658499
207	0.2162216864
208	0.2160656446
209	0.2156449497
210	0.2153686338
211	0.2151196779
212	0.2147671265
213	0.2145014876
214	0.214360663
215	0.2140487287
216	0.2138211537
217	0.2135884497
218	0.2133191842
219	0.2130405613
220	0.2126567932
221	0.2123959741
222	0.2121608025
223	0.2119719665
224	0.2118005641
225	0.2112574939
226	0.2109836498
227	0.2107759721
228	0.2106389755
229	0.2104027073
230	0.2101862779
231	0.2098468793
232	0.2095105054
233	0.2092372806
234	0.2089409524
235	0.2086624406
236	0.2083408606
