iter	Passed	Remaining
0	38	38315
1	71	35733
2	105	35221
3	138	34532
4	170	33922
5	200	33268
6	230	32761
7	265	32875
8	297	32723
9	327	32419
10	358	32218
11	390	32181
12	421	32035
13	453	31916
14	486	31922
15	520	31989
16	553	31999
17	584	31881
18	616	31852
19	646	31665
20	676	31536
21	707	31447
22	738	31354
23	768	31252
24	799	31168
25	828	31048
26	861	31063
27	892	30983
28	925	30998
29	957	30955
30	987	30870
31	1020	30860
32	1056	30966
33	1089	30953
34	1124	31001
35	1160	31067
36	1199	31215
37	1229	31135
38	1261	31086
39	1291	31005
40	1324	30975
41	1357	30965
42	1388	30909
43	1421	30886
44	1450	30791
45	1481	30731
46	1511	30643
47	1541	30580
48	1570	30482
49	1597	30348
50	1626	30262
51	1655	30189
52	1686	30129
53	1714	30038
54	1742	29937
55	1775	29925
56	1804	29856
57	1833	29785
58	1863	29721
59	1890	29617
60	1919	29540
61	1948	29477
62	1976	29403
63	2003	29306
64	2030	29213
65	2069	29283
66	2109	29375
67	2146	29425
68	2180	29427
69	2210	29365
70	2240	29320
71	2271	29270
72	2308	29313
73	2343	29325
74	2397	29573
75	2443	29704
76	2488	29830
77	2524	29838
78	2558	29829
79	2592	29816
80	2629	29829
81	2664	29827
82	2695	29784
83	2729	29762
84	2760	29714
85	2791	29671
86	2822	29616
87	2860	29641
88	2892	29604
89	2925	29580
90	2960	29573
91	2990	29515
92	3027	29525
93	3058	29483
94	3089	29431
95	3122	29401
96	3156	29381
97	3188	29351
98	3220	29313
99	3254	29294
100	3286	29251
101	3319	29224
102	3351	29190
103	3385	29170
104	3418	29141
105	3452	29116
106	3486	29097
107	3517	29051
108	3547	28998
109	3575	28931
110	3603	28857
111	3633	28806
112	3658	28716
113	3684	28634
114	3711	28566
115	3739	28495
116	3766	28422
117	3795	28366
118	3824	28310
119	3850	28233
120	3878	28175
121	3904	28099
122	3930	28028
123	3957	27955
124	3986	27904
125	4015	27856
126	4044	27800
127	4070	27729
128	4099	27680
129	4129	27634
130	4157	27579
131	4184	27513
132	4211	27454
133	4239	27398
134	4265	27330
135	4293	27275
136	4319	27208
137	4348	27163
138	4378	27120
139	4410	27092
140	4439	27045
141	4467	26992
142	4500	26969
143	4530	26928
144	4557	26871
145	4586	26826
146	4612	26762
147	4641	26719
148	4668	26665
149	4696	26611
150	4727	26582
151	4758	26546
152	4785	26494
153	4812	26436
154	4843	26405
155	4875	26378
156	4907	26350
157	4939	26322
158	4968	26281
159	4998	26244
160	5027	26198
161	5054	26145
162	5086	26121
163	5114	26073
164	5146	26043
165	5177	26011
166	5205	25965
167	5234	25923
168	5267	25900
169	5297	25865
170	5328	25833
171	5356	25783
172	5388	25757
173	5418	25720
174	5446	25676
175	5476	25640
176	5505	25599
177	5534	25558
178	5562	25511
179	5590	25465
180	5616	25415
181	5642	25358
182	5671	25319
183	5698	25270
184	5728	25236
185	5755	25187
186	5781	25136
187	5808	25087
188	5836	25042
189	5864	25002
190	5890	24951
191	5917	24904
192	5947	24869
193	5974	24822
194	6003	24783
195	6033	24749
196	6060	24701
197	6092	24678
198	6123	24647
199	6151	24607
200	6184	24585
201	6213	24548
202	6245	24521
203	6275	24485
204	6306	24457
205	6338	24429
206	6365	24386
207	6398	24364
208	6432	24345
209	6474	24354
210	6506	24328
211	6537	24300
212	6568	24269
213	6600	24243
214	6627	24197
215	6655	24158
216	6684	24118
217	6710	24073
218	6737	24025
219	6762	23976
220	6792	23941
221	6820	23901
222	6847	23859
223	6874	23814
224	6899	23764
225	6928	23728
226	6958	23696
227	6990	23669
228	7016	23623
229	7046	23589
230	7074	23549
231	7102	23512
232	7131	23476
233	7159	23436
234	7186	23395
235	7219	23371
236	7251	23345
237	7281	23313
238	7313	23286
239	7343	23252
240	7375	23229
241	7408	23205
242	7434	23160
243	7465	23129
244	7494	23096
245	7524	23063
246	7553	23028
247	7584	22998
248	7615	22967
249	7643	22929
250	7669	22885
251	7697	22848
252	7727	22816
253	7759	22788
254	7785	22746
255	7814	22710
256	7839	22665
257	7869	22632
258	7898	22597
259	7928	22567
260	7957	22531
261	7988	22503
262	8024	22485
263	8065	22486
264	8095	22454
265	8126	22425
266	8161	22405
267	8195	22384
268	8226	22355
269	8258	22329
270	8285	22289
271	8314	22253
272	8340	22211
273	8367	22170
274	8395	22132
275	8421	22091
276	8447	22049
277	8478	22020
278	8511	21996
279	8545	21973
280	8574	21940
281	8601	21901
282	8629	21863
283	8660	21833
284	8689	21801
285	8716	21760
286	8744	21724
287	8774	21692
288	8805	21664
289	8833	21625
290	8860	21587
291	8887	21550
292	8916	21515
293	8944	21479
294	8980	21462
295	9010	21431
296	9039	21396
297	9071	21370
298	9102	21341
299	9132	21308
300	9161	21276
301	9190	21240
302	9217	21204
303	9245	21167
304	9279	21144
305	9313	21121
306	9343	21091
307	9378	21070
308	9408	21040
309	9436	21003
310	9467	20974
311	9491	20929
312	9520	20896
313	9548	20861
314	9577	20827
315	9608	20798
316	9641	20772
317	9672	20744
318	9704	20717
319	9742	20703
320	9772	20671
321	9802	20640
322	9838	20621
323	9877	20607
324	9918	20599
325	9952	20577
326	9987	20555
327	10019	20528
328	10047	20491
329	10078	20462
330	10106	20426
331	10135	20394
332	10162	20355
333	10187	20314
334	10217	20282
335	10248	20252
336	10274	20214
337	10303	20180
338	10332	20147
339	10364	20118
340	10392	20084
341	10423	20054
342	10450	20017
343	10479	19984
344	10508	19951
345	10539	19921
346	10571	19893
347	10598	19856
348	10627	19824
349	10657	19792
350	10685	19757
351	10712	19719
352	10738	19681
353	10764	19643
354	10790	19606
355	10818	19569
356	10845	19533
357	10871	19495
358	10899	19461
359	10929	19430
360	10955	19392
361	10983	19356
362	11010	19321
363	11039	19288
364	11065	19251
365	11096	19221
366	11128	19193
367	11158	19162
368	11187	19131
369	11223	19111
370	11263	19096
371	11293	19064
372	11326	19039
373	11362	19018
374	11402	19004
375	11434	18976
376	11467	18950
377	11501	18925
378	11531	18894
379	11559	18860
380	11585	18823
381	11614	18790
382	11642	18755
383	11668	18717
384	11696	18683
385	11724	18649
386	11752	18616
387	11781	18583
388	11811	18551
389	11837	18515
390	11864	18478
391	11891	18443
392	11917	18407
393	11944	18370
394	11972	18337
395	11997	18299
396	12024	18264
397	12052	18229
398	12082	18200
399	12113	18170
400	12143	18140
401	12171	18106
402	12199	18071
403	12231	18044
404	12261	18013
405	12291	17983
406	12323	17956
407	12352	17923
408	12381	17891
409	12411	17860
410	12440	17829
411	12467	17794
412	12495	17759
413	12524	17727
414	12551	17693
415	12579	17659
416	12609	17628
417	12639	17598
418	12668	17566
419	12696	17533
420	12725	17500
421	12755	17470
422	12787	17442
423	12817	17412
424	12843	17376
425	12871	17343
426	12905	17318
427	12937	17290
428	12971	17264
429	13004	17238
430	13035	17209
431	13067	17181
432	13096	17149
433	13128	17121
434	13158	17090
435	13186	17057
436	13215	17026
437	13245	16995
438	13273	16962
439	13300	16928
440	13328	16895
441	13356	16861
442	13383	16827
443	13415	16800
444	13444	16767
445	13470	16733
446	13497	16698
447	13525	16665
448	13550	16629
449	13577	16595
